City,Latitude,Longitude,Max Temperature (F),Humidity,Cloudiness,Wind Speed,Country,Date
Yambio,4.5721,28.3955,71.83,62,24,3.69,SS,1619556271
Montrose,38.4166,-108.2673,53.6,61,75,19.57,US,1619556272
Kalmunai,7.4167,81.8167,79.77,61,94,5.86,LK,1619556272
Conde,-7.2597,-34.9075,80.6,61,20,11.5,BR,1619556273
Awallan,17.9244,121.913,71.17,61,66,2.59,PH,1619556273
Casas Grandes,30.3667,-107.95,72.0,61,63,31.0,MX,1619556273
Inhambane,-23.865,35.3833,73.96,61,0,10.65,MZ,1619556274
Rivadavia,-33.1905,-68.4608,75.2,61,0,8.05,AR,1619556052
Haines Junction,60.7522,-137.5108,35.6,60,100,9.22,CA,1619556274
Hualmay,-11.0964,-77.6139,70.86,59,82,12.95,PE,1619556275
Terney,45.0503,136.6092,40.96,59,100,3.36,RU,1619556275
Hong Kong,22.2855,114.1577,75.0,59,96,10.56,HK,1619556164
Makkah al Mukarramah,21.4267,39.8261,83.46,59,64,6.55,SA,1619556276
Rochester,43.1548,-77.6156,69.8,58,40,5.75,US,1619556194
Mae Sai,20.4335,99.8762,73.99,58,75,3.44,TH,1619556276
Bonthe,7.5264,-12.505,81.41,58,83,6.31,SL,1619556276
Elbistan,38.2059,37.1983,57.56,58,0,3.2,TR,1619556277
Mikkeli,61.6886,27.2723,33.8,57,90,1.14,FI,1619556277
Zapolyarnyy,69.4154,30.8136,28.4,57,75,6.91,RU,1619556277
Amlimay,16.6938,120.837,55.94,57,86,1.23,PH,1619556278
Puerto Colombia,10.9878,-74.9547,87.8,57,75,14.97,CO,1619556278
Berbera,10.4396,45.0143,84.67,57,47,3.71,SO,1619556279
Miraflores,19.2167,-98.8083,86.0,56,20,3.44,MX,1619556279
Springfield,37.2153,-93.2982,75.99,56,1,13.8,US,1619556085
Ponta Delgada,37.7333,-25.6667,59.0,56,75,10.36,PT,1619556279
Hokitika,-42.7167,170.9667,50.85,56,62,5.53,NZ,1619556280
University Park,25.7465,-80.3676,84.2,56,75,14.97,US,1619556280
Yabrūd,33.9674,36.6574,59.0,56,0,18.41,SY,1619556280
Kalakamati,-20.5929,27.3121,64.18,55,1,8.23,BW,1619556281
Ust'-Kan,50.9276,84.761,38.8,55,100,6.91,RU,1619556281
Wakkanai,45.4094,141.6739,45.09,55,100,17.85,JP,1619556281
Kumul,42.8,93.45,53.98,54,30,5.84,CN,1619556246
Pokhara,28.2333,83.9833,71.85,54,1,7.65,NP,1619556282
Onguday,50.75,86.15,42.13,54,100,3.04,RU,1619556282
Lira,2.235,32.9097,67.32,54,63,2.53,UG,1619556283
Laguna,38.421,-121.4238,77.0,54,1,14.97,US,1619556283
Chingirlau,51.095,54.0814,40.19,53,4,7.72,KZ,1619556283
Flin Flon,54.7682,-101.865,26.6,52,90,13.8,CA,1619556284
Shambu,9.5667,37.1,55.78,52,91,1.05,ET,1619556284
Preeceville,51.95,-102.6677,48.42,52,78,5.93,CA,1619556285
Waddān,29.1614,16.139,84.83,52,10,12.88,LY,1619556285
San Francisco,37.7749,-122.4194,66.2,52,20,19.57,US,1619556218
Dingle,10.9995,122.6711,77.25,52,97,6.24,PH,1619555997
Ihosy,-22.4,46.1167,65.26,52,54,7.76,MG,1619556286
Sarkand,45.41,79.9186,58.41,51,25,7.4,KZ,1619556286
Khani,41.9563,42.9566,48.2,51,75,4.61,GE,1619556292
Eyrarbakki,63.863,-21.1481,44.6,51,90,8.05,IS,1619556292
Kimbe,-5.5502,150.1429,77.05,51,15,3.24,PG,1619556293
Pedernales,18.0384,-71.744,82.67,50,10,6.4,DO,1619556293
Pouembout,-21.1333,164.9,71.02,50,1,6.76,NC,1619556293
College,64.8569,-147.8028,43.0,50,90,12.66,US,1619556294
Kandrian,-6.2167,149.55,77.9,50,74,4.29,PG,1619556294
Muscat,23.6139,58.5922,87.8,49,0,1.14,OM,1619556199
Chara,56.9064,118.2631,17.33,49,100,7.72,RU,1619556295
Palmer,42.1584,-72.3287,71.01,48,75,4.61,US,1619556295
Nicoya,10.1483,-85.452,91.4,48,40,11.5,CR,1619556295
Kontagora,10.3999,5.4695,90.03,47,95,5.53,NG,1619556296
Ruidoso,33.3317,-105.673,59.0,47,1,20.71,US,1619556296
Marsaxlokk,35.8419,14.5431,62.6,47,20,8.05,MT,1619556296
West Odessa,31.8424,-102.4988,91.0,47,93,19.57,US,1619556297
Yārāda,17.65,83.2667,82.4,46,40,2.3,IN,1619556297
Jumla,29.2747,82.1838,48.49,46,98,4.09,NP,1619556297
Ketchikan,55.3422,-131.6461,46.4,46,90,14.97,US,1619556298
Winnemucca,40.973,-117.7357,50.0,46,75,5.75,US,1619556298
Kokopo,-4.352,152.2633,77.27,45,34,3.24,PG,1619556299
Beringovskiy,63.05,179.3167,32.68,45,100,5.5,RU,1619556299
La Ronge,55.1001,-105.2842,24.8,45,75,17.27,CA,1619556299
Ngunguru,-35.6167,174.5,55.0,45,94,4.0,NZ,1619556300
Ossora,59.2353,163.0719,28.99,45,100,4.85,RU,1619556300
Correntina,-13.3433,-44.6367,79.66,44,99,1.45,BR,1619556300
Ust'-Ilimsk,58.0006,102.6619,19.27,43,19,2.8,RU,1619556301
Yuci,37.6803,112.7319,37.4,42,21,2.24,CN,1619556301
Luz,-19.8014,-45.6856,71.98,42,58,2.37,BR,1619556302
Borodino,55.9106,94.8983,37.4,41,88,2.8,RU,1619556302
Port Hueneme,34.1478,-119.1951,66.99,41,20,12.66,US,1619556302
São José da Coroa Grande,-8.8978,-35.1478,78.82,41,13,7.43,BR,1619556303
Hammerfest,70.6634,23.6821,28.4,41,75,11.5,NO,1619556303
Mananjary,-21.2167,48.3333,71.91,40,16,3.44,MG,1619556303
Arrondissement de Lannion,48.75,-3.4167,48.2,40,0,3.44,FR,1619556304
Adré,13.4667,22.2,81.57,40,4,7.72,TD,1619556304
Syracuse,37.0881,15.2792,62.01,39,0,5.75,IT,1619556304
Saint Anthony,45.0205,-93.218,50.0,39,90,5.75,US,1619556305
Acaraú,-2.8856,-40.12,79.7,39,22,11.99,BR,1619556305
Tsimmerbude,54.675,20.1347,37.99,39,75,4.47,RU,1619556305
Sikonge,-5.6333,32.7667,64.71,38,100,3.27,TZ,1619556306
Derzhavīnsk,51.1,66.3167,60.69,38,100,16.49,KZ,1619556306
Guerrero Negro,27.9769,-114.0611,66.85,38,2,15.7,MX,1619556306
Ikongo,-21.8833,47.4333,67.73,38,86,1.92,MG,1619556307
Goderich,43.7501,-81.7165,64.4,38,100,8.05,CA,1619556307
San Quintín,30.4833,-115.95,57.56,38,99,11.23,MX,1619556307
Sisimiut,66.9395,-53.6735,34.11,38,82,6.29,GL,1619556308
Neiafu,-18.65,-173.9833,80.6,38,75,12.66,TO,1619556308
Loandjili,-4.7561,11.8578,77.0,37,75,4.61,CG,1619556309
Tautira,-17.7333,-149.15,86.0,37,20,5.75,PF,1619556056
Rawson,-43.3002,-65.1023,70.7,37,100,7.74,AR,1619556314
Chernyshevskiy,63.0128,112.4714,2.97,37,40,1.12,RU,1619556314
Huarmey,-10.0681,-78.1522,71.42,37,82,12.59,PE,1619556315
Lamu,-2.2717,40.902,80.65,37,48,8.99,KE,1619556315
Mackay,-21.15,149.2,66.2,37,40,10.36,AU,1619556041
Constitución,-35.3333,-72.4167,62.65,36,15,11.21,CL,1619556316
Chu,43.5983,73.7614,61.0,36,20,1.99,KZ,1619556316
Altay,47.8667,88.1167,42.39,36,96,6.93,CN,1619556316
Keetmanshoop,-26.5833,18.1333,69.8,36,98,5.75,NA,1619556317
Mulegé,26.8833,-111.9833,74.71,35,0,14.29,MX,1619556317
Narsaq,60.9167,-46.05,41.23,35,3,2.13,GL,1619556318
Cairns,-16.9167,145.7667,73.4,33,75,10.36,AU,1619556250
Kitimat,54.0524,-128.6534,46.0,33,100,5.39,CA,1619556318
Japura,-0.3167,102.35,71.85,33,79,1.45,ID,1619556318
San Miguel de Cozumel,20.5083,-86.9458,87.8,33,40,12.66,MX,1619556319
Kirakira,-10.4544,161.9205,80.64,33,88,5.66,SB,1619556083
Pomerode,-26.7406,-49.1769,71.6,33,40,9.22,BR,1619556319
San Policarpo,12.1791,125.5072,77.58,33,98,7.31,PH,1619556320
Tianpeng,30.9866,103.9393,62.6,33,40,8.95,CN,1619556320
Aripuanã,-9.1667,-60.6333,78.37,32,67,2.82,BR,1619556320
Pangnirtung,66.1451,-65.7125,21.2,32,20,9.22,CA,1619556321
Anbu,23.449,116.6809,68.0,32,90,2.24,CN,1619556321
Sioux Lookout,50.1001,-91.917,53.6,32,40,4.61,CA,1619556156
Tilichiki,60.4667,166.1,25.77,30,100,7.83,RU,1619556322
Atambua,-9.1061,124.8925,67.69,30,5,3.56,ID,1619556322
Karasjok,69.4719,25.5112,28.4,30,75,6.91,NO,1619556322
Kudahuvadhoo,2.6708,72.8944,82.24,29,82,5.01,MV,1619556323
Noumea,-22.2763,166.4572,73.99,29,75,3.44,NC,1619556219
Yar-Sale,66.8333,70.8333,31.03,29,100,5.68,RU,1619556323
Launceston,-41.45,147.1667,46.99,29,90,4.61,AU,1619556324
Apatou,5.155,-54.3472,74.41,28,100,1.28,GF,1619556324
Kangaba,11.9333,-8.4167,91.81,28,17,5.73,ML,1619556324
Alberton,46.8168,-64.0654,41.0,28,100,12.66,CA,1619556325
Kirovskiy,45.0917,133.5136,50.54,28,100,6.49,RU,1619556325
Muros,42.7762,-9.0603,57.0,28,15,3.0,ES,1619556325
Ternate,0.8,127.4,80.38,27,0,3.15,ID,1619556326
Cabedelo,-6.9811,-34.8339,80.6,26,20,11.5,BR,1619556326
Tadine,-21.55,167.8833,72.57,26,92,13.91,NC,1619556326
Arrondissement de Saint-Denis,48.9167,2.3333,60.01,26,0,5.75,FR,1619556327
Kyra,49.5776,111.9753,25.18,26,15,11.32,RU,1619556327
Coyhaique,-45.5752,-72.0662,55.4,25,90,5.75,CL,1619556328
Charyshskoye,51.3978,83.5598,48.78,24,100,7.87,RU,1619556328
Chekalin,54.0969,36.245,35.6,24,78,8.95,RU,1619556328
Kavarna,43.4333,28.3333,51.8,24,0,3.44,BG,1619556120
Nuuk,64.1835,-51.7216,37.4,24,40,8.05,GL,1619556193
Kattivākkam,13.2167,80.3167,82.4,24,40,3.44,IN,1619556329
Ilām,26.9167,87.9167,67.71,24,0,6.91,NP,1619556329
Biak,-0.9131,122.8766,75.85,24,17,3.67,ID,1619556330
Mandalgovi,45.7625,106.2708,31.82,23,4,14.12,MN,1619556330
Kahului,20.8947,-156.47,80.6,23,40,6.91,US,1619556335
Malatya Province,38.5,38.0,66.2,23,0,3.44,TR,1619556336
Nizhniy Odes,63.6445,54.856,36.91,23,100,2.91,RU,1619556336
Sheksna,59.21,38.5107,37.4,22,40,1.59,RU,1619556337
Ambalavao,-21.8333,46.9333,62.64,21,77,3.83,MG,1619556337
Beisfjord,68.3751,17.5988,30.2,21,40,2.3,NO,1619556106
Sihorā,23.4833,80.1167,82.8,20,0,2.62,IN,1619556337
Saucillo,28.0167,-105.2833,91.51,19,6,29.53,MX,1619556338
Parkes,-33.1333,148.1833,57.0,19,100,3.83,AU,1619556338
Shingū,33.7333,135.9833,60.53,19,100,4.68,JP,1619556339
Cavalcante,-13.7975,-47.4583,72.7,19,23,1.12,BR,1619556339
Grosse Pointe Farms,42.4092,-82.8919,81.0,18,1,12.66,US,1619556339
Hinganghāt,20.5667,78.8333,86.0,16,20,2.3,IN,1619556340
Bar Harbor,44.3876,-68.2039,64.99,15,1,13.8,US,1619556133
Cuyamel,15.6667,-88.2,91.4,14,20,13.8,HN,1619556340
Sirte,31.2089,16.5887,86.67,14,100,6.67,LY,1619556341
Sungai Penuh,-2.0833,101.3833,63.84,11,82,3.2,ID,1619556341
Alihe,50.5667,123.7167,31.8,11,24,2.91,CN,1619556341
Dongzhen,22.3797,110.9389,72.37,11,100,3.15,CN,1619556342
Kupang,-10.1667,123.5833,72.37,10,19,5.59,ID,1619556342
Poum,-20.2333,164.0167,74.46,10,0,20.58,NC,1619556343
Mossamedes,-15.1961,12.1522,75.74,9,5,9.62,AO,1619556343
Iznoski,54.9881,35.3108,29.91,9,73,5.5,RU,1619556343
Maïné Soroa,13.2114,12.0241,90.55,8,95,7.92,NE,1619556344
Mucurapo,10.6667,-61.5333,84.99,8,40,11.5,TT,1619556344
Annau,37.8876,58.516,75.2,8,40,6.91,TM,1619556344
Ixtapa,20.7,-105.2,82.4,6,40,11.5,MX,1619556345
